Console,GameName,Score
PS4,Sakura Wars Review,7
PC,XCOM: Chimera Squad Review,8
PC,Cloudpunk Review - Time To Fly,7
PS4,Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town,8
"XONE, PC, PS4",Rainbow Six Siege Review (2015),8
PC,"Gears Tactics Review - Plan The Work, Work The Plan",8
PC,Fallout 76: Wastelanders Review - A Disappointing Return,5
NS,Trials Of Mana Review - Trial And Error,6
NS,Treachery In Beatdown City Review,8
PC,In Other Waters Review,9
XONE,Bleeding Edge Review - Underwatch,6
PS4,Final Fantasy 7 Remake Review - First Class,1
NS,Animal Crossing: New Horizons Review - Island Getaway,9
PS4,Persona 5 Royal Review - Hearts Of Gold,1
PS4,"Resident Evil 3 Remake Review - Farewell, Raccoon City",6
NS,Good Job Review - Office Space,7
PC,Corruption 2029 Review,6
PS4,MLB The Show 20 Review,8
"PC, PS4, XONE",Call Of Duty Warzone Review,7
PC,Half-Life: Alyx Review - Catch These Hands,9
"PC, NS, XONE, PS4",Doom Eternal Review - Intelligent Inferno,8
PS4,Nioh 2 Review,8
XONE,Ori And The Will Of The Wisps Review,8
PC,Mindseize Review - Familiar Territory,6
"MAC, AND, PC",Dota Underlords Review,9
NS,Pokemon Mystery Dungeon: Rescue Team DX Review,8
PC,Wolcen: Lords Of Mayhem Review,4
PS4,Bloodroots Review,8
NS,Snack World Review,4
PS4,Dreams Review,9
PS4,Granblue Fantasy Versus Review - Fighting Fantasy,7
PC,The Pedestrian Review - Walk Before You Run,7
PC,Through The Darkest Of Times Review - Enemy Inside The Gates,8
NS,Kunai Review - Throwing Knives,7
NS,Kentucky Route Zero Review - Where The Streets Have No Name,9
PS4,Kingdom Hearts 3 Re:Mind Review - Don't Remind Me,4
PC,Lenna's Inception Review - Press Start,7
"PC, PS4",Journey To The Savage Planet Review - A Pulpy Sci-Fi Romp,7
PC,Frostpunk: The Last Autumn Review - Calm Before The Storm,8
"XONE, PS4",Dragon Ball Z: Kakarot Review - Mondo Cool,7
PC,Unity Of Command 2 Review - Lifetime Supply,8
